response_id,control_doc_id,test_doc_id,stance,chose_control,confidence,time_spent_seconds,expanded_control,expanded_test,tercile
1284,P29_AGAINST,P32_AGAINST,AGAINST,False,2,41.9,False,False,middle
1285,P43_AGAINST,P24_AGAINST,AGAINST,False,4,20.2,False,False,middle
1286,P25_AGAINST,P40_AGAINST,AGAINST,False,4,32.8,False,False,middle
1287,P29_FOR,P34_FOR,FOR,False,4,11.8,False,False,middle
1288,P45_FOR,P16_FOR,FOR,True,4,21.4,False,False,middle
1289,P19_AGAINST,P22_AGAINST,AGAINST,True,2,41.7,False,False,middle
1290,P27_FOR,P18_FOR,FOR,True,4,11.3,False,False,late
1291,P17_FOR,P32_FOR,FOR,False,4,41.6,False,False,late
1292,P25_FOR,P48_FOR,FOR,False,4,55.8,False,False,late
1293,P19_FOR,P22_FOR,FOR,False,4,16.3,False,False,late
1294,P45_AGAINST,P34_AGAINST,AGAINST,False,2,26.5,False,False,late
1295,P33_AGAINST,P42_AGAINST,AGAINST,True,,34.8,False,False,late
1296,P19_FOR,P16_FOR,FOR,True,,40.0,False,False,early
1297,P27_AGAINST,P30_AGAINST,AGAINST,True,,11.6,False,False,early
1298,P17_FOR,P18_FOR,FOR,True,,16.7,False,False,early
1299,P25_FOR,P32_FOR,FOR,True,,11.4,False,False,middle
1300,P43_FOR,P24_FOR,FOR,True,,10.8,False,False,middle
1301,P43_AGAINST,P18_AGAINST,AGAINST,False,,12.4,False,False,early
1302,P33_FOR,P26_FOR,FOR,False,,14.9,False,False,early
1303,P43_AGAINST,P40_AGAINST,AGAINST,True,,11.6,False,False,early
1304,P45_FOR,P18_FOR,FOR,False,,36.1,False,False,middle
1305,P17_AGAINST,P34_AGAINST,AGAINST,False,,16.2,False,False,middle
1306,P45_AGAINST,P44_AGAINST,AGAINST,True,,30.7,False,False,early
1307,P25_FOR,P26_FOR,FOR,False,4,142.2,False,False,middle
1308,P27_FOR,P34_FOR,FOR,True,2,46.8,True,False,early
1309,P29_FOR,P24_FOR,FOR,True,4,43.0,True,True,middle
1310,P29_AGAINST,P42_AGAINST,AGAINST,True,,92.2,True,True,early
1311,P27_AGAINST,P18_AGAINST,AGAINST,True,,289.2,True,True,middle
